ID,a(n),b(n),Claimed,Verified_dp,Tail_exponent,PSLQ,S_value_50d
D1,"[0, 1, -2]","[1, 3]",2/pi,498,265.4,"[1, 1/S, pi]: [0, -2, 1]",0.63661977236758134307553505349005744813783858296183
D2,"[0, 3, -2]","[1, 3]",4/pi,498,268.4,"[1, 1/S, pi]: [0, -4, 1]",1.2732395447351626861510701069801148962756771659237
D3,"[0, 0, -2]","[2, 3]",1/ln2,499,265.9,"[1, S, 1/ln2]: [0, 1, -1]",1.442695040888963407359924681001892137426645954153
