label,workers,executor,trials,successful_trials,wall_seconds_mean,wall_seconds_std,gcf_per_sec_mean,novel_finds_mean,speedup_vs_seq,efficiency_pct
zeta3 | 1 iters | batch 16 | 300dp,1,process,1,1,4.386,0.0,9.187,0,1.0,100.0
zeta3 | 1 iters | batch 16 | 300dp,2,process,1,1,3.744,0.0,10.24,0,1.115,55.7
