label,workers,executor,trials,successful_trials,wall_seconds_mean,wall_seconds_std,gcf_per_sec_mean,novel_finds_mean,speedup_vs_seq,efficiency_pct
zeta3 | 5 iters | batch 128 | 300dp,1,process,1,1,129.18,0.0,5.246,16,1.0,100.0
zeta3 | 5 iters | batch 128 | 300dp,2,process,1,1,38.401,0.0,17.868,16,3.406,170.3
zeta3 | 5 iters | batch 128 | 300dp,4,process,1,1,30.844,0.0,23.999,16,4.575,114.4
zeta3 | 5 iters | batch 128 | 300dp,8,process,1,1,43.005,0.0,18.246,16,3.478,43.5
