n,a_n,b_n,c_n_num,c_n_den,c_n_decimal
1,1,4,1,4,0.2500000000
2,-2,7,-1,14,-0.0714285714
3,-9,10,-9,70,-0.1285714286
4,-20,13,-2,13,-0.1538461538
5,-35,16,-35,208,-0.1682692308
6,-54,19,-27,152,-0.1776315789
7,-77,22,-7,38,-0.1842105263
8,-104,25,-52,275,-0.1890909091
9,-135,28,-27,140,-0.1928571429
10,-170,31,-85,434,-0.1958525346
